"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BHP","BHP Billiton Limited","46.84","124679219089.84","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/bhp",
"RIO","Rio Tinto Plc","46.77","81292302169.53","n/a","2002","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/rio",
"WBK","Westpac Banking Corporation","20.16","68265039326.4","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/wbk",
