"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CRESY","Cresud S.A.C.I.F. y A.","14","540669962","38619283","1997","Finance","Real Estate","https://www.nasdaq.com/symbol/cresy",
"ESTR","Estre Ambiental, Inc.","6.2","317357738.4","n/a","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/estr",
"ESTRW","Estre Ambiental, Inc.","0.3999","0","n/a","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/estrw",
"GGAL","Grupo Financiero Galicia S.A.","23.69","1505361482.06","63544174","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/ggal",
"IRCP","IRSA Propiedades Comerciales S.A.","25","82680050","3307202","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/ircp",
"MELI","MercadoLibre, Inc.","326.5","14743879346","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/meli",
