"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CEL","Cellcom Israel, Ltd.","5.76","582016648.32","n/a","2007","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cel",
"GZT","Gazit-Globe Ltd.","9.22","1784598628.7","n/a","2011","Finance","Real Estate","https://www.nasdaq.com/symbol/gzt",
"ICL","Israel Chemicals Shs","5.59","7156324411.73","n/a","2014","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/icl",
"TARO","Taro Pharmaceutical Industries Ltd.","101.71","4010198995.25","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/taro",
"TEVA","Teva Pharmaceutical Industries Limited","21.75","22147645071","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/teva",
