"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AU","AngloGold Ashanti Limited","7.66","3152942657.58","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/au",
"DRD","DRDGOLD Limited","2.08","89737390.08","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/drd",
"GFI","Gold Fields Limited","2.32","1903824983.44","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/gfi",
"HMY","Harmony Gold Mining Company Limited","1.77","885445599.27","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/hmy",
"MIXT","MiX Telematics Limited","15.8","356843000","n/a","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/mixt",
"SSL","Sasol Ltd.","38.23","24064857119.67","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ssl",
"SBGL","Sibanye Gold Limited","2.58","1461492171.72","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/sbgl",
