"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"KNDI","Kandi Technologies Group, Inc.","3.975","204600977.4","n/a","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/kndi",
"KBSF","KBS Fashion Group Limited","3.74","8253211.34","n/a","2013","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/kbsf",
"KGJI","Kingold Jewelry Inc.","1.1998","79322979.6996","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/kgji",
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","7.57","5407818.75","714375","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/kone",
"KLIC","Kulicke and Soffa Industries, Inc.","24.86","1679839671.4","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/klic",
"LX","LexinFintech Holdings Ltd.","10.12","452531425.28","44716544","2017","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/lx",
"LLIT","Lianluo Smart Limited","1.44","25353483.84","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/llit",
"LOACU","Longevity Acquisition Corporation","10.14","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/loacu",
"MMYT","MakeMyTrip Limited","29.75","3033953552","n/a","2010","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/mmyt",
"MLCO","Melco Resorts & Entertainment Limited","21.14","5110310751.56","241736554","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/mlco",
"MOMO","Momo Inc.","45.15","6628222723.5","146804490","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/momo",
"MOXC","Moxian, Inc.","1.13","76113660.86","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/moxc",
"NTES","NetEase, Inc.","193.35","14758528663.95","76330637","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ntes",
"NEWA","Newater Technology, Inc.","10.68","115440120","n/a","2017","Basic Industries","Miscellaneous","https://www.nasdaq.com/symbol/newa",
"NFEC","NF Energy Saving Corporation","3.87","29308628.43","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/nfec",
"SEED","Origin Agritech Limited","6.1","1423929.1","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/seed",
"OSN","Ossen Innovation Co., Ltd.","2.0772","4667543.1792","2247036","2010","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/osn",
"PDD","Pinduoduo Inc.","19.57","1675192000","85600000","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/pdd",
"PME","Pingtan Marine Enterprise Ltd.","2.24","177083318.72","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pme",
"QIWI","QIWI plc","13.9","625829527.3","45023707","2013","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/qiwi",
"RCON","Recon Technology, Ltd.","1.14","20839597.86","n/a","2009","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/rcon",
"ABAC","Renmin Tianli Group, Inc.","1.79","14290903.55","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/abac",
"RETO","ReTo Eco-Solutions, Inc.","3.82","86943200","n/a","2017","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/reto",
"REDU","RISE Education Cayman Ltd","10.14","234943800","23170000","2017","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/redu",
"SECO","Secoo Holding Limited","12.63","120791753.88","9563876","2017","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/seco",
"LEDS","SemiLEDS Corporation","4.03","14333863.7","n/a","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/leds",
"AIHS","Senmiao Technology Limited","5.1","131984940","n/a","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/aihs",
"SGOC","SGOCO Group, Ltd","1.0375","25775681.125","n/a","2010","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/sgoc",
"SEII","Sharing Economy International Inc.","2.405","17750862.48","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/seii",
"TYHT","Shineco, Inc.","0.9696","20588556.2112","n/a","2016","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/tyht",
"SIFY","Sify Technologies Limited","1.65","41923092.75","25407935","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/sify",
"SIMO","Silicon Motion Technology Corporation","53.83","1939394184.07","36028129","2005","Technology","Semiconductors","https://www.nasdaq.com/symbol/simo",
"SINA","Sina Corporation","65.77","4700612680.36","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/sina",
"SVA","Sinovac Biotech, Ltd.","7.06","487717938.66","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/sva",
"SKYS","Sky Solar Holdings, Ltd.","0.7821","11214745.4133","14339273","2014","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/skys",
"SOHU","Sohu.com Limited ","20.36","792345803.68","38916788","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/sohu",
